year,ao_oct_dec
1950,-0.9407
1951,0.5686
1952,-1.3849333333333333
1953,0.24486666666666668
1954,0.24563333333333331
1955,-0.5623666666666667
1956,0.3579333333333333
1957,0.11703333333333336
1958,-0.3090333333333334
1959,-0.5672333333333334
1960,-0.6943666666666667
1961,-0.4918333333333333
1962,-0.6131666666666667
1963,-0.1761
1964,-0.08293333333333333
1965,-0.26149999999999995
1966,-0.7891666666666667
1967,0.42843333333333333
1968,-1.3263333333333334
1969,-0.4774
1970,0.025833333333333333
1971,0.8091333333333334
1972,0.41633333333333333
1973,0.05260000000000001
1974,-0.30073333333333335
1975,0.6820666666666667
1976,-0.9885666666666667
1977,0.11883333333333332
1978,0.7946666666666666
1979,0.17549999999999996
1980,-0.6465
1981,-0.8569666666666667
1982,0.47236666666666666
1983,0.2890666666666667
1984,-0.26339999999999997
1985,-0.7100000000000001
1986,0.8033666666666667
1987,-0.38323333333333337
1988,0.5588333333333334
1989,0.12693333333333331
1990,0.8191999999999999
1991,0.5486666666666666
1992,0.6592666666666667
1993,0.11090000000000003
1994,0.9490666666666667
1995,-0.9251333333333334
1996,-0.46730000000000005
1997,-0.4773
1998,0.06609999999999998
1999,0.5494
2000,-1.2063666666666666
2001,0.0679
2002,-1.5019
2003,0.07926666666666667
2004,0.4643333333333333
2005,-0.6154666666666666
2006,0.5912999999999999
2007,0.22863333333333333
2008,0.8052666666666667
2009,-1.4979333333333333
2010,-1.1579
2011,1.4932666666666667
2012,-1.1244
2013,1.2555666666666667
2014,-0.4172666666666667
2015,1.0463333333333333
2016,-0.24726666666666666
2017,0.18456666666666668
2018,-0.19790000000000002
2019,-0.28783333333333333
2020,0.09289999999999994
2021,0.04843333333333333
2022,-0.34486666666666665
2023,-0.22373333333333334
2024,0.05063333333333334
2025,-0.2013
