year,pna_oct_dec
1950,-0.43333333333333335
1951,-0.2733333333333333
1952,0.85
1953,1.6099999999999999
1954,0.5599999999999999
1955,-0.9066666666666666
1956,-0.45333333333333325
1957,0.12000000000000001
1958,0.3
1959,0.33333333333333337
1960,0.4066666666666666
1961,-1.1866666666666665
1962,0.5166666666666667
1963,0.7166666666666667
1964,-0.6533333333333333
1965,-0.32
1966,-0.8833333333333333
1967,-0.10999999999999999
1968,-0.09999999999999998
1969,0.78
1970,-0.9966666666666667
1971,-1.03
1972,-0.5
1973,-0.6733333333333333
1974,0.6466666666666666
1975,-0.4166666666666667
1976,1
1977,0.08666666666666666
1978,-0.24333333333333332
1979,0.5633333333333334
1980,1.1766666666666667
1981,-0.10333333333333332
1982,-0.22
1983,0.54
1984,-0.6033333333333334
1985,-0.6733333333333333
1986,0.52
1987,0.8633333333333334
1988,0.47333333333333333
1989,-0.3266666666666666
1990,-1.34
1991,-0.5233333333333333
1992,-0.05666666666666667
1993,0.02
1994,-0.4033333333333333
1995,0.040000000000000015
1996,-0.8133333333333334
1997,0.6033333333333333
1998,0.4
1999,0.36666666666666664
2000,0.74
2001,0.4766666666666667
2002,0.8266666666666667
2003,0.03666666666666666
2004,-0.2733333333333333
2005,0.5066666666666666
2006,-0.12063333333333333
2007,0.4608333333333333
2008,0.18566666666666667
2009,0.3251
2010,-0.2752333333333334
2011,0.0674
2012,-1.0937
2013,-0.794
2014,0.7447
2015,0.7864666666666666
2016,0.8009666666666666
2017,-0.5223666666666666
2018,0.4373
2019,-0.2999
2020,0.22943333333333335
2021,-0.23429999999999995
2022,-0.4099666666666667
2023,0.9881333333333333
2024,0.5982333333333334
2025,1.10275
